[2025-11-09T06:11:27.080Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762668687080 resume=false
[2025-11-09T06:11:28.214Z] JOB_START MSFT
[2025-11-09T06:11:28.591Z] USAGE cpu=0.3% rssMb=170.4
[2025-11-09T06:11:30.091Z] USAGE cpu=0.5% rssMb=170.5
[2025-11-09T06:11:31.588Z] USAGE cpu=0.4% rssMb=170.5
[2025-11-09T06:11:33.096Z] USAGE cpu=1.1% rssMb=181.7
[2025-11-09T06:11:34.596Z] USAGE cpu=1.1% rssMb=181.7
[2025-11-09T06:11:36.096Z] USAGE cpu=1.2% rssMb=183.3
[2025-11-09T06:11:37.730Z] USAGE cpu=1% rssMb=183.3
[2025-11-09T06:11:39.245Z] USAGE cpu=1% rssMb=183.3
[2025-11-09T06:11:40.848Z] USAGE cpu=1% rssMb=199.8
[2025-11-09T06:11:43.680Z] USAGE cpu=1.7% rssMb=200.7
[2025-11-09T06:11:45.185Z] USAGE cpu=1.6% rssMb=200.3
[2025-11-09T06:11:46.697Z] USAGE cpu=1.5% rssMb=200.3
[2025-11-09T06:11:48.214Z] USAGE cpu=1.5% rssMb=200.3
[2025-11-09T06:11:49.730Z] USAGE cpu=0.9% rssMb=200.3
[2025-11-09T06:11:51.231Z] USAGE cpu=0.1% rssMb=200.3
[2025-11-09T06:11:52.747Z] USAGE cpu=0.1% rssMb=200.3
[2025-11-09T06:11:54.264Z] USAGE cpu=0.1% rssMb=200.3
[2025-11-09T06:11:55.780Z] USAGE cpu=0.1% rssMb=200.3
[2025-11-09T06:11:57.280Z] USAGE cpu=0.1% rssMb=200.3
[2025-11-09T06:11:58.796Z] USAGE cpu=0.3% rssMb=130.8
[2025-11-09T06:12:00.295Z] USAGE cpu=0.3% rssMb=130.8
[2025-11-09T06:12:01.798Z] USAGE cpu=0.3% rssMb=130.8
[2025-11-09T06:12:03.313Z] USAGE cpu=0.3% rssMb=130.9
[2025-11-09T06:12:04.814Z] USAGE cpu=0.3% rssMb=130.9
[2025-11-09T06:12:06.315Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:07.828Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:09.330Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:10.847Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:12.355Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:13.858Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:15.360Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:16.863Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:18.369Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:19.870Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:21.372Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:22.873Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:24.376Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:25.880Z] USAGE cpu=0.1% rssMb=130.9
[2025-11-09T06:12:27.393Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:28.894Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:30.406Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:31.896Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:33.401Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:34.903Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:36.408Z] USAGE cpu=0.1% rssMb=131.0
[2025-11-09T06:12:37.910Z] USAGE cpu=0.1% rssMb=131.0
