[2025-11-09T06:20:26.445Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762669226444 resume=false
[2025-11-09T06:20:27.583Z] JOB_START MSFT
[2025-11-09T06:22:30.341Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:31.843Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:33.351Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:34.851Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:36.361Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:37.862Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:39.363Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:40.878Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:42.392Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:43.906Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:45.409Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:46.911Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:48.428Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:49.940Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:51.442Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:52.942Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:54.449Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:55.954Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:57.468Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:22:58.984Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:00.494Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:02.002Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:03.506Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:05.023Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:06.529Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:08.039Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:09.541Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:11.046Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:12.562Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:14.076Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:23:15.579Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:23:17.092Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:18.593Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:20.094Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:21.595Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:23.096Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:24.606Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:26.102Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:27.602Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:29.111Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:30.620Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:32.121Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:33.624Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:35.148Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:36.648Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:38.149Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:39.654Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:41.171Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:42.671Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:44.171Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:45.672Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:47.187Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:48.687Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:50.187Z] USAGE cpu=0% rssMb=129.5
[2025-11-09T06:23:51.687Z] USAGE cpu=0% rssMb=129.5
