[2025-11-09T08:36:53.188Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762677413188 resume=false
[2025-11-09T08:36:54.333Z] JOB_START MSFT
[2025-11-09T08:36:54.697Z] USAGE cpu=0.2% rssMb=154.5
[2025-11-09T08:36:56.208Z] USAGE cpu=0.4% rssMb=162.6
[2025-11-09T08:36:58.064Z] USAGE cpu=1.1% rssMb=189.9
[2025-11-09T08:36:59.578Z] USAGE cpu=1.4% rssMb=188.7
[2025-11-09T08:37:01.089Z] USAGE cpu=1.4% rssMb=188.7
[2025-11-09T08:37:02.591Z] USAGE cpu=1.3% rssMb=188.5
[2025-11-09T08:37:04.091Z] USAGE cpu=1% rssMb=188.5
[2025-11-09T08:37:05.606Z] USAGE cpu=0.4% rssMb=188.5
[2025-11-09T08:37:07.107Z] USAGE cpu=0.2% rssMb=151.1
[2025-11-09T08:37:08.608Z] USAGE cpu=0.2% rssMb=151.1
[2025-11-09T08:37:10.110Z] USAGE cpu=0.3% rssMb=150.8
[2025-11-09T08:37:11.618Z] USAGE cpu=0.3% rssMb=152.3
[2025-11-09T08:37:13.124Z] USAGE cpu=0.3% rssMb=152.3
[2025-11-09T08:37:14.626Z] USAGE cpu=0.2% rssMb=152.9
[2025-11-09T08:37:16.131Z] USAGE cpu=0.3% rssMb=153.8
[2025-11-09T08:37:17.645Z] USAGE cpu=0.2% rssMb=153.9
[2025-11-09T08:37:19.147Z] USAGE cpu=0.2% rssMb=154.0
[2025-11-09T08:37:20.655Z] USAGE cpu=0.2% rssMb=154.0
[2025-11-09T08:37:22.157Z] USAGE cpu=0.2% rssMb=154.1
[2025-11-09T08:37:23.660Z] USAGE cpu=0.1% rssMb=154.1
[2025-11-09T08:37:25.174Z] USAGE cpu=0.1% rssMb=154.1
[2025-11-09T08:37:26.680Z] USAGE cpu=0.1% rssMb=154.1
[2025-11-09T08:37:28.254Z] USAGE cpu=0.3% rssMb=172.2
[2025-11-09T08:37:29.762Z] USAGE cpu=0.5% rssMb=166.7
[2025-11-09T08:37:31.274Z] USAGE cpu=0.5% rssMb=168.8
[2025-11-09T08:37:32.781Z] USAGE cpu=0.5% rssMb=170.0
[2025-11-09T08:37:34.295Z] USAGE cpu=0.5% rssMb=170.1
[2025-11-09T08:37:35.806Z] USAGE cpu=0.6% rssMb=192.0
[2025-11-09T08:37:37.322Z] USAGE cpu=0.6% rssMb=188.3
[2025-11-09T08:37:38.829Z] USAGE cpu=0.5% rssMb=187.8
[2025-11-09T08:37:40.330Z] USAGE cpu=0.5% rssMb=191.1
[2025-11-09T08:37:41.833Z] USAGE cpu=1% rssMb=197.5
[2025-11-09T08:37:43.338Z] USAGE cpu=0.8% rssMb=193.6
[2025-11-09T08:37:44.842Z] USAGE cpu=0.7% rssMb=193.6
[2025-11-09T08:37:46.821Z] USAGE cpu=1.1% rssMb=202.2
[2025-11-09T08:37:48.455Z] USAGE cpu=2.6% rssMb=214.8
