[2025-11-16T06:22:20.224Z] RUN_START symbols=1 from=2025-01-01 to=2025-01-02 interval=day mode=mock runId=run-1763274140224 resume=false
[2025-11-16T06:22:21.381Z] JOB_START A
[2025-11-16T06:24:22.417Z] USAGE cpu=0.1% rssMb=229.9
[2025-11-16T06:24:23.920Z] USAGE cpu=0.1% rssMb=229.5
[2025-11-16T06:24:25.432Z] USAGE cpu=0.1% rssMb=229.6
[2025-11-16T06:24:26.937Z] USAGE cpu=0.1% rssMb=230.6
[2025-11-16T06:24:28.452Z] USAGE cpu=0.2% rssMb=232.5
[2025-11-16T06:24:29.953Z] USAGE cpu=0.5% rssMb=231.5
[2025-11-16T06:24:31.456Z] USAGE cpu=0.5% rssMb=231.5
[2025-11-16T06:24:32.956Z] USAGE cpu=0.5% rssMb=231.5
[2025-11-16T06:24:34.468Z] USAGE cpu=0.5% rssMb=231.5
[2025-11-16T06:24:35.973Z] USAGE cpu=0.4% rssMb=231.5
[2025-11-16T06:24:37.474Z] USAGE cpu=0.1% rssMb=231.6
[2025-11-16T06:24:38.989Z] USAGE cpu=0.1% rssMb=231.6
[2025-11-16T06:24:40.497Z] USAGE cpu=0.1% rssMb=231.6
[2025-11-16T06:24:42.003Z] USAGE cpu=0.1% rssMb=231.6
[2025-11-16T06:24:43.515Z] USAGE cpu=0% rssMb=231.6
[2025-11-16T06:24:45.020Z] USAGE cpu=0% rssMb=231.6
[2025-11-16T06:24:46.536Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:48.049Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:49.563Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:51.068Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:52.576Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:54.084Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:55.586Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:24:57.090Z] USAGE cpu=0.1% rssMb=231.7
[2025-11-16T06:24:58.605Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:25:00.118Z] USAGE cpu=0% rssMb=231.7
[2025-11-16T06:25:01.633Z] USAGE cpu=0.1% rssMb=231.7
[2025-11-16T06:25:03.140Z] USAGE cpu=0.1% rssMb=231.7
[2025-11-16T06:25:04.651Z] USAGE cpu=0.1% rssMb=231.7
[2025-11-16T06:25:06.156Z] USAGE cpu=0.1% rssMb=231.7
[2025-11-16T06:25:07.672Z] USAGE cpu=0.1% rssMb=232.1
[2025-11-16T06:25:09.173Z] USAGE cpu=0.1% rssMb=232.1
[2025-11-16T06:25:10.685Z] USAGE cpu=0.1% rssMb=232.1
[2025-11-16T06:25:12.188Z] USAGE cpu=0.1% rssMb=232.5
[2025-11-16T06:25:13.702Z] USAGE cpu=0.1% rssMb=232.5
