[2025-11-09T08:07:46.748Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762675666748 resume=false
[2025-11-09T08:07:47.970Z] JOB_START AAPL
[2025-11-09T08:07:48.249Z] USAGE cpu=0.1% rssMb=166.2
[2025-11-09T08:07:49.749Z] USAGE cpu=0.3% rssMb=169.8
[2025-11-09T08:07:51.249Z] USAGE cpu=0.3% rssMb=169.3
[2025-11-09T08:07:52.753Z] USAGE cpu=0.3% rssMb=169.3
[2025-11-09T08:07:54.267Z] USAGE cpu=0.3% rssMb=169.4
[2025-11-09T08:07:55.783Z] USAGE cpu=0.3% rssMb=170.4
[2025-11-09T08:07:57.283Z] USAGE cpu=0.1% rssMb=170.4
[2025-11-09T08:07:58.784Z] USAGE cpu=0.1% rssMb=170.0
[2025-11-09T08:08:00.300Z] USAGE cpu=0.1% rssMb=171.3
[2025-11-09T08:08:01.799Z] USAGE cpu=0.1% rssMb=171.3
[2025-11-09T08:08:03.300Z] USAGE cpu=0.1% rssMb=175.0
[2025-11-09T08:08:04.803Z] USAGE cpu=0.2% rssMb=174.8
[2025-11-09T08:08:06.316Z] USAGE cpu=0.2% rssMb=174.9
[2025-11-09T08:08:07.817Z] USAGE cpu=0.1% rssMb=174.9
[2025-11-09T08:08:09.333Z] USAGE cpu=0.2% rssMb=175.0
[2025-11-09T08:08:10.834Z] USAGE cpu=0.2% rssMb=174.2
[2025-11-09T08:08:12.334Z] USAGE cpu=0.1% rssMb=174.3
[2025-11-09T08:08:13.849Z] USAGE cpu=0.1% rssMb=174.3
[2025-11-09T08:08:15.355Z] USAGE cpu=0.1% rssMb=174.3
[2025-11-09T08:08:16.866Z] USAGE cpu=0.1% rssMb=174.3
[2025-11-09T08:08:18.368Z] USAGE cpu=0.5% rssMb=175.1
[2025-11-09T08:08:19.882Z] USAGE cpu=0.5% rssMb=175.1
[2025-11-09T08:08:21.383Z] USAGE cpu=0.5% rssMb=174.3
[2025-11-09T08:08:22.888Z] USAGE cpu=0.5% rssMb=174.3
[2025-11-09T08:08:24.398Z] USAGE cpu=0.5% rssMb=174.5
[2025-11-09T08:08:25.899Z] USAGE cpu=0.5% rssMb=181.6
[2025-11-09T08:08:27.401Z] USAGE cpu=0.5% rssMb=181.6
[2025-11-09T08:08:28.916Z] USAGE cpu=0.5% rssMb=182.7
[2025-11-09T08:08:30.416Z] USAGE cpu=0.5% rssMb=182.7
[2025-11-09T08:08:31.932Z] USAGE cpu=0.4% rssMb=182.7
[2025-11-09T08:08:33.624Z] USAGE cpu=0.3% rssMb=192.4
[2025-11-09T08:08:35.135Z] USAGE cpu=0.4% rssMb=186.9
[2025-11-09T08:08:36.634Z] USAGE cpu=0.4% rssMb=186.9
[2025-11-09T08:08:38.150Z] USAGE cpu=0.4% rssMb=190.1
[2025-11-09T08:08:39.667Z] USAGE cpu=1.7% rssMb=205.7
[2025-11-09T08:08:41.195Z] USAGE cpu=2.2% rssMb=207.2
[2025-11-09T08:08:42.711Z] USAGE cpu=2.2% rssMb=207.2
[2025-11-09T08:08:44.211Z] USAGE cpu=2.2% rssMb=207.2
[2025-11-09T08:08:45.713Z] USAGE cpu=2.1% rssMb=207.2
[2025-11-09T08:08:47.228Z] USAGE cpu=0.8% rssMb=207.2
[2025-11-09T08:08:48.728Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:50.228Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:51.728Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:53.229Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:54.745Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:56.249Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:57.749Z] USAGE cpu=0% rssMb=207.2
[2025-11-09T08:08:59.260Z] USAGE cpu=0.1% rssMb=141.7
[2025-11-09T08:09:00.762Z] USAGE cpu=0.3% rssMb=131.5
[2025-11-09T08:09:02.265Z] USAGE cpu=0.3% rssMb=131.5
[2025-11-09T08:09:03.765Z] USAGE cpu=0.3% rssMb=131.5
[2025-11-09T08:09:05.276Z] USAGE cpu=0.3% rssMb=131.5
[2025-11-09T08:09:06.776Z] USAGE cpu=0.2% rssMb=131.5
[2025-11-09T08:09:08.278Z] USAGE cpu=0% rssMb=131.5
[2025-11-09T08:09:09.780Z] USAGE cpu=0% rssMb=131.5
[2025-11-09T08:09:11.295Z] USAGE cpu=0% rssMb=131.5
[2025-11-09T08:09:12.796Z] USAGE cpu=0% rssMb=131.5
[2025-11-09T08:09:14.296Z] USAGE cpu=0% rssMb=131.6
[2025-11-09T08:09:15.796Z] USAGE cpu=0% rssMb=131.6
