[2026-02-18T14:57:14.498Z] Fetched UNOMINDA: Daily(91), Weekly(34), Nifty(110)
[2026-02-18T14:57:27.741Z] Fetched FEDERALBNK: Daily(98), Weekly(43), Nifty(144)
[2026-02-18T14:57:27.776Z] Fetched APLAPOLLO: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:29.776Z] Fetched GODREJPROP: Daily(89), Weekly(37), Nifty(144)
[2026-02-18T14:57:29.853Z] Fetched GRASIM: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:30.955Z] Fetched APOLLOHOSP: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:42.216Z] Fetched TITAN: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:43.155Z] Fetched ABCAPITAL: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:43.221Z] Fetched BANKINDIA: Daily(98), Weekly(43), Nifty(144)
[2026-02-18T14:57:44.228Z] Fetched BAJFINANCE: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:46.320Z] Fetched BANKNIFTY: Daily(0), Weekly(0), Nifty(144)
[2026-02-18T14:57:58.521Z] Fetched BHARTIARTL: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:59.518Z] Fetched BHARATFORG: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:59.521Z] Fetched BEL: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:57:59.605Z] Fetched AUBANK: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:58:06.319Z] Fetched HCLTECH: Daily(89), Weekly(34), Nifty(144)
[2026-02-18T14:58:20.614Z] Fetched TECHM: Daily(136), Weekly(43), Nifty(182)
[2026-02-18T14:58:20.617Z] Fetched ASHOKLEY: Daily(89), Weekly(34), Nifty(182)
[2026-02-18T14:58:20.621Z] Fetched COALINDIA: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:58:23.010Z] Fetched KEI: Daily(88), Weekly(34), Nifty(185)
[2026-02-18T14:58:23.973Z] Fetched LUPIN: Daily(136), Weekly(51), Nifty(182)
[2026-02-18T14:58:37.243Z] Fetched ICICIPRULI: Daily(89), Weekly(37), Nifty(186)
[2026-02-18T14:58:38.288Z] Fetched HINDZINC: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:58:40.500Z] Fetched GLENMARK: Daily(89), Weekly(41), Nifty(186)
[2026-02-18T14:58:41.432Z] Fetched GODREJCP: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:58:41.487Z] Fetched WIPRO: Daily(140), Weekly(52), Nifty(186)
[2026-02-18T14:58:53.740Z] Fetched UPL: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:58:54.743Z] Fetched RVNL: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:58:59.127Z] Fetched MOTHERSON: Daily(89), Weekly(46), Nifty(186)
[2026-02-18T14:59:00.092Z] Fetched INDUSTOWER: Daily(90), Weekly(34), Nifty(187)
[2026-02-18T14:59:01.118Z] Fetched TCS: Daily(89), Weekly(34), Nifty(186)
[2026-02-18T14:59:14.465Z] Fetched SONACOMS: Daily(158), Weekly(56), Nifty(204)
[2026-02-18T14:59:15.390Z] Fetched INFY: Daily(79), Weekly(32), Nifty(204)
[2026-02-18T14:59:15.422Z] Fetched BHARATFORG: Daily(149), Weekly(48), Nifty(204)
[2026-02-18T14:59:18.439Z] Fetched ABB: Daily(141), Weekly(56), Nifty(204)
[2026-02-18T14:59:20.979Z] Fetched HDFCAMC: Daily(103), Weekly(50), Nifty(204)
[2026-02-18T15:19:49.009Z] Fetched BANKNIFTY: Daily(0), Weekly(0), Nifty(90)
[2026-02-18T15:19:50.126Z] Fetched SBIN: Daily(90), Weekly(34), Nifty(90)
[2026-02-18T15:19:52.190Z] Fetched UNIONBANK: Daily(90), Weekly(34), Nifty(90)
